category,keep_release,param,number_weight,value,mode,state,draw,model
sf,keep,numbers,number,84333.32311447666,all modes,RI,1,SQ
sf,release,numbers,number,1589459.0186340103,all modes,RI,1,SQ
bsb,keep,numbers,number,288402.51869967766,all modes,RI,1,SQ
bsb,release,numbers,number,7146031.782838859,all modes,RI,1,SQ
scup,keep,numbers,number,3489790.8381668776,all modes,RI,1,SQ
scup,release,numbers,number,4911302.906637073,all modes,RI,1,SQ
sf,keep,weight,weight,287557.3386412092,all modes,RI,1,SQ
sf,release,weight,weight,2044053.373218624,all modes,RI,1,SQ
bsb,keep,weight,weight,846885.6740340986,all modes,RI,1,SQ
bsb,release,weight,weight,8726965.52634776,all modes,RI,1,SQ
scup,keep,weight,weight,4828052.19126621,all modes,RI,1,SQ
scup,release,weight,weight,3990768.3619828606,all modes,RI,1,SQ
sf,keep,number,number,0,all modes,RI,1,SQ
sf,release,number,number,158945.90186340117,all modes,RI,1,SQ
bsb,keep,number,number,0,all modes,RI,1,SQ
bsb,release,number,number,1071904.7674258286,all modes,RI,1,SQ
scup,keep,number,number,0,all modes,RI,1,SQ
scup,release,number,number,736695.4359955604,all modes,RI,1,SQ
sf,keep,numbers,number,79526.82846420987,pr,RI,1,SQ
sf,keep,numbers,number,4806.494650266786,sh,RI,1,SQ
sf,release,numbers,number,1358693.9452848472,pr,RI,1,SQ
sf,release,numbers,number,230765.07334916323,sh,RI,1,SQ
bsb,keep,numbers,number,248473.97884017444,pr,RI,1,SQ
bsb,keep,numbers,number,39928.539859503246,sh,RI,1,SQ
bsb,release,numbers,number,6657890.560403102,pr,RI,1,SQ
bsb,release,numbers,number,488141.22243575647,sh,RI,1,SQ
scup,keep,numbers,number,1333906.35267337,pr,RI,1,SQ
scup,keep,numbers,number,2155884.4854935077,sh,RI,1,SQ
scup,release,numbers,number,2321101.128319703,pr,RI,1,SQ
scup,release,numbers,number,2590201.7783173695,sh,RI,1,SQ
sf,keep,weight,weight,270791.95364959235,pr,RI,1,SQ
sf,keep,weight,weight,16765.384991616796,sh,RI,1,SQ
sf,release,weight,weight,1571851.556955634,pr,RI,1,SQ
sf,release,weight,weight,286378.7823340241,sh,RI,1,SQ
bsb,keep,weight,weight,730017.0034519777,pr,RI,1,SQ
bsb,keep,weight,weight,116868.67058212093,sh,RI,1,SQ
bsb,release,weight,weight,7107668.763156532,pr,RI,1,SQ
bsb,release,weight,weight,480996.911928477,sh,RI,1,SQ
scup,keep,weight,weight,2064062.350373021,pr,RI,1,SQ
scup,keep,weight,weight,2763989.840893189,sh,RI,1,SQ
scup,release,weight,weight,1580383.8089355368,pr,RI,1,SQ
scup,release,weight,weight,1889849.5493104293,sh,RI,1,SQ
sf,keep,weight,weight,0,fh,RI,1,SQ
sf,keep,weight,weight,0,pr,RI,1,SQ
sf,keep,weight,weight,0,sh,RI,1,SQ
sf,release,weight,weight,157185.15569556342,pr,RI,1,SQ
sf,release,weight,weight,28637.878233402414,sh,RI,1,SQ
bsb,keep,weight,weight,0,fh,RI,1,SQ
bsb,keep,weight,weight,0,pr,RI,1,SQ
bsb,keep,weight,weight,0,sh,RI,1,SQ
bsb,release,weight,weight,1066150.31447348,pr,RI,1,SQ
bsb,release,weight,weight,72149.53678927153,sh,RI,1,SQ
scup,keep,weight,weight,0,fh,RI,1,SQ
scup,keep,weight,weight,0,pr,RI,1,SQ
scup,keep,weight,weight,0,sh,RI,1,SQ
scup,release,weight,weight,237057.5713403305,pr,RI,1,SQ
scup,release,weight,weight,283477.4323965643,sh,RI,1,SQ
sf,keep,number,number,0,fh,RI,1,SQ
sf,keep,number,number,0,pr,RI,1,SQ
sf,keep,number,number,0,sh,RI,1,SQ
sf,release,number,number,135869.39452848485,pr,RI,1,SQ
sf,release,number,number,23076.50733491632,sh,RI,1,SQ
bsb,keep,number,number,0,fh,RI,1,SQ
bsb,keep,number,number,0,pr,RI,1,SQ
bsb,keep,number,number,0,sh,RI,1,SQ
bsb,release,number,number,998683.5840604651,pr,RI,1,SQ
bsb,release,number,number,73221.18336536347,sh,RI,1,SQ
scup,keep,number,number,0,fh,RI,1,SQ
scup,keep,number,number,0,pr,RI,1,SQ
scup,keep,number,number,0,sh,RI,1,SQ
scup,release,number,number,348165.16924795526,pr,RI,1,SQ
scup,release,number,number,388530.26674760506,sh,RI,1,SQ
CV,N/A,N/A,dollars,227353.27140943301,pr,RI,1,SQ
predicted trips,N/A,N/A,trips,714816.8799973677,pr,RI,1,SQ
CV,N/A,N/A,dollars,NA,fh,RI,1,SQ
predicted trips,N/A,N/A,trips,NA,fh,RI,1,SQ
CV,N/A,N/A,dollars,-22405.251113076207,sh,RI,1,SQ
predicted trips,N/A,N/A,trips,891316.3620983111,sh,RI,1,SQ
CV,N/A,N/A,dollars,NA,all modes,RI,1,SQ
predicted trips,N/A,N/A,trips,NA,all modes,RI,1,SQ
sf,keep,numbers,number,103932.765170018,all modes,RI,2,SQ
sf,release,numbers,number,2098209.1849080226,all modes,RI,2,SQ
bsb,keep,numbers,number,316476.46876229485,all modes,RI,2,SQ
bsb,release,numbers,number,6777508.13061865,all modes,RI,2,SQ
scup,keep,numbers,number,4762983.843917723,all modes,RI,2,SQ
scup,release,numbers,number,5027493.9906250695,all modes,RI,2,SQ
sf,keep,weight,weight,347454.1013943922,all modes,RI,2,SQ
sf,release,weight,weight,2722687.5847973684,all modes,RI,2,SQ
bsb,keep,weight,weight,917061.0714872562,all modes,RI,2,SQ
bsb,release,weight,weight,8363129.852648515,all modes,RI,2,SQ
scup,keep,weight,weight,6324208.126643918,all modes,RI,2,SQ
scup,release,weight,weight,3747459.6411082814,all modes,RI,2,SQ
sf,keep,number,number,0,all modes,RI,2,SQ
sf,release,number,number,209820.91849080232,all modes,RI,2,SQ
bsb,keep,number,number,0,all modes,RI,2,SQ
bsb,release,number,number,1016626.2195927978,all modes,RI,2,SQ
scup,keep,number,number,0,all modes,RI,2,SQ
scup,release,number,number,754124.098593761,all modes,RI,2,SQ
sf,keep,numbers,number,102038.60671381433,pr,RI,2,SQ
sf,keep,numbers,number,1894.1584562036737,sh,RI,2,SQ
sf,release,numbers,number,1934487.8157919047,pr,RI,2,SQ
sf,release,numbers,number,163721.36911611792,sh,RI,2,SQ
bsb,keep,numbers,number,297167.0056656523,pr,RI,2,SQ
bsb,keep,numbers,number,19309.463096642594,sh,RI,2,SQ
bsb,release,numbers,number,6297795.8753305655,pr,RI,2,SQ
bsb,release,numbers,number,479712.2552880837,sh,RI,2,SQ
scup,keep,numbers,number,988625.9100880149,pr,RI,2,SQ
scup,keep,numbers,number,3774357.933829708,sh,RI,2,SQ
scup,release,numbers,number,2540013.44463311,pr,RI,2,SQ
scup,release,numbers,number,2487480.5459919595,sh,RI,2,SQ
sf,keep,weight,weight,341060.9226889606,pr,RI,2,SQ
sf,keep,weight,weight,6393.178705431556,sh,RI,2,SQ
sf,release,weight,weight,2269350.0998308803,pr,RI,2,SQ
sf,release,weight,weight,205820.43180309096,sh,RI,2,SQ
bsb,keep,weight,weight,860586.4986735322,pr,RI,2,SQ
bsb,keep,weight,weight,56474.57281372406,sh,RI,2,SQ
bsb,release,weight,weight,6753187.043769001,pr,RI,2,SQ
bsb,release,weight,weight,519099.7846210113,sh,RI,2,SQ
scup,keep,weight,weight,1557992.377380308,pr,RI,2,SQ
scup,keep,weight,weight,4766215.749263611,sh,RI,2,SQ
scup,release,weight,weight,1932544.347040352,pr,RI,2,SQ
scup,release,weight,weight,1326116.2104451105,sh,RI,2,SQ
sf,keep,weight,weight,0,fh,RI,2,SQ
sf,keep,weight,weight,0,pr,RI,2,SQ
sf,keep,weight,weight,0,sh,RI,2,SQ
sf,release,weight,weight,226935.0099830881,pr,RI,2,SQ
sf,release,weight,weight,20582.043180309098,sh,RI,2,SQ
bsb,keep,weight,weight,0,fh,RI,2,SQ
bsb,keep,weight,weight,0,pr,RI,2,SQ
bsb,keep,weight,weight,0,sh,RI,2,SQ
bsb,release,weight,weight,1012978.0565653512,pr,RI,2,SQ
bsb,release,weight,weight,77864.96769315169,sh,RI,2,SQ
scup,keep,weight,weight,0,fh,RI,2,SQ
scup,keep,weight,weight,0,pr,RI,2,SQ
scup,keep,weight,weight,0,sh,RI,2,SQ
scup,release,weight,weight,289881.6520560528,pr,RI,2,SQ
scup,release,weight,weight,198917.43156676664,sh,RI,2,SQ
sf,keep,number,number,0,fh,RI,2,SQ
sf,keep,number,number,0,pr,RI,2,SQ
sf,keep,number,number,0,sh,RI,2,SQ
sf,release,number,number,193448.78157919052,pr,RI,2,SQ
sf,release,number,number,16372.13691161179,sh,RI,2,SQ
bsb,keep,number,number,0,fh,RI,2,SQ
bsb,keep,number,number,0,pr,RI,2,SQ
bsb,keep,number,number,0,sh,RI,2,SQ
bsb,release,number,number,944669.3812995853,pr,RI,2,SQ
bsb,release,number,number,71956.83829321252,sh,RI,2,SQ
scup,keep,number,number,0,fh,RI,2,SQ
scup,keep,number,number,0,pr,RI,2,SQ
scup,keep,number,number,0,sh,RI,2,SQ
scup,release,number,number,381002.0166949668,pr,RI,2,SQ
scup,release,number,number,373122.0818987941,sh,RI,2,SQ
CV,N/A,N/A,dollars,28679.64048595049,pr,RI,2,SQ
predicted trips,N/A,N/A,trips,785420.5291793277,pr,RI,2,SQ
CV,N/A,N/A,dollars,-3698.8762257760204,sh,RI,2,SQ
predicted trips,N/A,N/A,trips,877895.1620683944,sh,RI,2,SQ
CV,N/A,N/A,dollars,NA,fh,RI,2,SQ
predicted trips,N/A,N/A,trips,NA,fh,RI,2,SQ
CV,N/A,N/A,dollars,NA,all modes,RI,2,SQ
predicted trips,N/A,N/A,trips,NA,all modes,RI,2,SQ
sf,keep,numbers,number,174914.94728197315,all modes,RI,3,SQ
sf,release,numbers,number,1203610.7489164458,all modes,RI,3,SQ
bsb,keep,numbers,number,331932.06866511493,all modes,RI,3,SQ
bsb,release,numbers,number,7403453.09678088,all modes,RI,3,SQ
scup,keep,numbers,number,4620349.693758089,all modes,RI,3,SQ
scup,release,numbers,number,6471229.5954461545,all modes,RI,3,SQ
sf,keep,weight,weight,408698.0293191025,all modes,RI,3,SQ
