run_name,state,input,value
SQ,MA,SFmaFH_seas1_op,2025-05-24
SQ,MA,SFmaFH_seas1_cl,2025-09-23
SQ,MA,SFmaFH_1_bag,5
SQ,MA,SFmaFH_1_len,17.5
SQ,MA,SFmaPR_seas1_op,2025-05-24
SQ,MA,SFmaPR_seas1_cl,2025-09-23
SQ,MA,SFmaPR_1_bag,5
SQ,MA,SFmaPR_1_len,17.5
SQ,MA,SFmaSH_seas1_op,2025-05-24
SQ,MA,SFmaSH_seas1_cl,2025-09-23
SQ,MA,SFmaSH_1_bag,5
SQ,MA,SFmaSH_1_len,16.5
SQ,MA,SFmaFH_seas2_op,2025-12-31
SQ,MA,SFmaFH_seas2_cl,2025-12-31
SQ,MA,SFmaFH_2_bag,0
SQ,MA,SFmaFH_2_len,10
SQ,MA,SFmaPR_seas2_op,2025-12-31
SQ,MA,SFmaPR_seas2_cl,2025-12-31
SQ,MA,SFmaPR_2_bag,0
SQ,MA,SFmaPR_2_len,10
SQ,MA,SFmaSH_seas2_op,2025-12-31
SQ,MA,SFmaSH_seas2_cl,2025-12-31
SQ,MA,SFmaSH_2_bag,0
SQ,MA,SFmaSH_2_len,10
SQ,MA,SCUPmaFH_seas1_op,2025-05-01
SQ,MA,SCUPmaFH_seas1_cl,2025-06-30
SQ,MA,SCUPmaFH_1_bag,40
SQ,MA,SCUPmaFH_1_len,11
SQ,MA,SCUPmaPR_seas1_op,2025-05-01
SQ,MA,SCUPmaPR_seas1_cl,2025-12-31
SQ,MA,SCUPmaPR_1_bag,30
SQ,MA,SCUPmaPR_1_len,11
SQ,MA,SCUPmaSH_seas1_op,2025-05-01
SQ,MA,SCUPmaSH_seas1_cl,2025-12-31
SQ,MA,SCUPmaSH_1_bag,30
SQ,MA,SCUPmaSH_1_len,9.5
SQ,MA,SCUPmaFH_seas2_op,2025-07-01
SQ,MA,SCUPmaFH_seas2_cl,2025-12-31
SQ,MA,SCUPmaFH_2_bag,30
SQ,MA,SCUPmaFH_2_len,11
SQ,MA,SCUPmaPR_seas2_op,2025-12-31
SQ,MA,SCUPmaPR_seas2_cl,2025-12-31
SQ,MA,SCUPmaPR_2_bag,0
SQ,MA,SCUPmaPR_2_len,10
SQ,MA,SCUPmaSH_seas2_op,2025-12-31
SQ,MA,SCUPmaSH_seas2_cl,2025-12-31
SQ,MA,SCUPmaSH_2_bag,0
SQ,MA,SCUPmaSH_2_len,10
SQ,MA,SCUPmaFH_seas3_op,2025-12-31
SQ,MA,SCUPmaFH_seas3_cl,2025-12-31
SQ,MA,SCUPmaFH_3_bag,0
SQ,MA,SCUPmaFH_3_len,10
SQ,MA,BSBma_seas1_op,2025-05-18
SQ,MA,BSBma_seas1_cl,2025-09-03
SQ,MA,BSBma_1_bag,4
SQ,MA,BSBma_1_len,16.5
SQ,MA,BSBmaFH_seas2_op,2025-12-31
SQ,MA,BSBmaFH_seas2_cl,2025-12-31
SQ,MA,BSBmaFH_2_bag,0
SQ,MA,BSBmaFH_2_len,16.5
SQ,MA,BSBmaPR_seas2_op,2025-12-31
SQ,MA,BSBmaPR_seas2_cl,2025-12-31
SQ,MA,BSBmaPR_2_bag,0
SQ,MA,BSBmaPR_2_len,16.5
SQ,MA,BSBmaSH_seas2_op,2025-12-31
SQ,MA,BSBmaSH_seas2_cl,2025-12-31
SQ,MA,BSBmaSH_2_bag,0
SQ,MA,BSBmaSH_2_len,16.5
SQ,RI,BSBriFH_seas1_op,2025-06-18
SQ,RI,BSBriFH_seas1_cl,2025-08-31
SQ,RI,BSBriFH_1_bag,2
SQ,RI,BSBriFH_1_len,16
SQ,RI,BSBriPR_seas1_op,2025-05-22
SQ,RI,BSBriPR_seas1_cl,2025-08-26
SQ,RI,BSBriPR_1_bag,2
SQ,RI,BSBriPR_1_len,16.5
SQ,RI,BSBriSH_seas1_op,2025-05-22
SQ,RI,BSBriSH_seas1_cl,2025-08-26
SQ,RI,BSBriSH_1_bag,2
SQ,RI,BSBriSH_1_len,16.5
SQ,RI,BSBriFH_seas2_op,2025-09-01
SQ,RI,BSBriFH_seas2_cl,2025-12-31
SQ,RI,BSBriFH_2_bag,6
